tweet_id;name;rating_numerator;rating_denominator;dog_stages
892420643555336193;Phineas;13;10;None
892177421306343426;Tilly;13;10;None
891815181378084864;Archie;12;10;None
891689557279858688;Darla;13;10;None
891327558926688256;Franklin;12;10;None
891087950875897856;None;13;10;None
890971913173991426;Jax;13;10;None
890729181411237888;None;13;10;None
890609185150312448;Zoey;13;10;None
890240255349198849;Cassie;14;10;doggo
890006608113172480;Koda;13;10;None
889880896479866881;Bruno;13;10;None
889665388333682689;None;13;10;None
889638837579907072;Ted;12;10;None
889531135344209921;Stuart;13;10;None
889278841981685760;Oliver;13;10;None
888917238123831296;Jim;12;10;None
888804989199671297;Zeke;13;10;None
888554962724278272;Ralphus;13;10;None
888202515573088257;Canela;13;10;None
888078434458587136;Gerald;12;10;None
887705289381826560;Jeffrey;13;10;None
887517139158093824;such;14;10;None
887473957103951883;Canela;13;10;None
887343217045368832;None;13;10;None
887101392804085760;None;12;10;None
886983233522544640;Maya;13;10;None
886736880519319552;Mingus;13;10;None
886680336477933568;Derek;13;10;None
886366144734445568;Roscoe;12;10;None
886267009285017600;None;12;10;None
886258384151887873;Waffles;13;10;None
886054160059072513;None;12;10;None
885984800019947520;Jimbo;12;10;None
885528943205470208;Maisey;13;10;None
885518971528720385;None;14;10;None
885311592912609280;Lilly;13;10;None
885167619883638784;None;13;10;None
884925521741709313;Earl;12;10;None
884876753390489601;Lola;13;10;None
884562892145688576;Kevin;13;10;None
884441805382717440;None;14;10;None
884247878851493888;None;13;10;None
884162670584377345;Yogi;12;10;doggo
883838122936631299;Noah;12;10;None
883482846933004288;Bella;5;10;None
883360690899218434;Grizzwald;13;10;None
883117836046086144;None;13;10;None
882992080364220416;Rusty;13;10;None
882762694511734784;Gus;12;10;None
882627270321602560;Stanley;13;10;None
882268110199369728;Alfy;13;10;None
882045870035918850;Koko;13;10;None
881906580714921986;Rey;12;10;None
881666595344535552;Gary;13;10;None
881633300179243008;None;17;10;None
881536004380872706;a;14;10;None
881268444196462592;Elliot;12;10;None
880935762899988482;Louis;13;10;None
880872448815771648;None;12;10;None
880465832366813184;Bella;12;10;None
880221127280381952;Jesse;12;10;None
880095782870896641;None;11;10;None
879862464715927552;Romeo;13;10;None
879674319642796034;None;14;10;None
879492040517615616;Bailey;12;10;None
879415818425184262;Duddles;13;10;None
879376492567855104;Jack;12;10;None
879130579576475649;Emmy;14;10;None
